ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Gene name)	Subunits comment	PubMed ID	Complex comment	Disease comment	SWISSPROT organism	subunits(Gene name syn)	subunits(Protein name)
27	Arp2/3 protein complex	Human	ARP2/3 protein complex	None	O15143;O15144;O15145;O15511;P59998;P61158;P61160	10095;10109;10094;10092;10093;10096;10097	MI:0027-cosedimentation;MI:0071-molecular sieving	None	None	None	None	ARPC1B;ARPC2;ARPC3;ARPC5;ARPC4;ACTR3;ACTR2	None	9359840	None	Transcript levels of ARP2/3 complex subunits, and of nucleation promotion factors that regulate the ARP2/3 complex, were significantly lower in DLPFC layer 3 and 5 pyramidal cells in schizophrenia. In contrast, these transcripts were unaltered, or only modestly changed, in parvalbumin interneurons and DLPFC gray matter (PMID:27523502)	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	ARC41;ARC34;ARC21;ARC16;ARC20;ARP3;ARP2	Actin-related protein 2/3 complex subunit 1B;Actin-related protein 2/3 complex subunit 2;Actin-related protein 2/3 complex subunit 3;Actin-related protein 2/3 complex subunit 5;Actin-related protein 2/3 complex subunit 4;Actin-related protein 3;Actin-related protein 2
29	PA28gamma complex	Human	None	None	P61289	10197	MI:0226-ion exchange chromatography;MI:0071-molecular sieving	GO:0043161;GO:0005515;GO:0016504	proteasome-mediated ubiquitin-dependent protein catabolic process;protein binding;peptidase activator activity	14.13.01.01;16.01;18.02.01.01.03	proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;protease activator	PSME3	According to gel filtration chromatography experiments, the protein complex probably consists of seven identical subunits.	9325261	None	None	Homo sapiens (Human)	None	Proteasome activator complex subunit 3
30	PA28 complex	Human	11S REG	None	Q06323;Q9UL46	5720;5721	MI:0071- molecular sieving; MI:0226- ion exchange chromatography	GO:0043161;GO:0006511;GO:0051098;GO:0005515;GO:0016504;GO:0005737	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;regulation of binding;protein binding;peptidase activator activity;cytoplasm	14.13.01.01;18.01.07;16.01;18.02.01.01.03;70.03	proteasomal degradation (ubiquitin/proteasomal pathway);regulation by binding / dissociation;protein binding;protease activator;cytoplasm	PSME1;PSME2	None	9325261	PA28 is a regulatory complex of the 20S proteasome. It acts as proteasome activator and stimulates cleavage after basic, acidic, and most hydrophobic residues in many peptides.	None	Homo sapiens (Human);Homo sapiens (Human)	IFI5111;None	Proteasome activator complex subunit 1;Proteasome activator complex subunit 2
32	PA700 complex	Human	19S complex	None	O00231;O00232;O00233;O00487;O43242;O75832;P17980;P35998;P43686;P48556;P51665;P55036;P62191;P62195;P62333;Q13200;Q15008;Q16401;Q99460;Q9UNM6	5717;5718;5715;10213;5709;5716;5702;5701;5704;5714;5713;5710;5700;5705;5706;5708;9861;5711;5707;5719	MI:0226-ion exchange chromatography;MI:0071-molecular sieving	GO:0043161;GO:0005515;GO:0016504	proteasome-mediated ubiquitin-dependent protein catabolic process;protein binding;peptidase activator activity	14.13.01.01;16.01;18.02.01.01.03	proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;protease activator	PSMD11;PSMD12;PSMD9;PSMD14;PSMD3;PSMD10;PSMC3;PSMC2;PSMC4;PSMD8;PSMD7;PSMD4;PSMC1;PSMC5;PSMC6;PSMD2;PSMD6;PSMD5;PSMD1;PSMD13	None	9148964	The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;None;POH1;None;None;TBP1;MSS1;MIP224 TBP7;None;MOV34L;MCB1;None;SUG1;SUG2;TRAP2;KIAA0107 PFAAP4;KIAA0072;None;None	26S proteasome non-ATPase regulatory subunit 11;26S proteasome non-ATPase regulatory subunit 12;26S proteasome non-ATPase regulatory subunit 9;26S proteasome non-ATPase regulatory subunit 14;26S proteasome non-ATPase regulatory subunit 3;26S proteasome non-ATPase regulatory subunit 10;26S protease regulatory subunit 6A;26S protease regulatory subunit 7;26S protease regulatory subunit 6B;26S proteasome non-ATPase regulatory subunit 8;26S proteasome non-ATPase regulatory subunit 7;26S proteasome non-ATPase regulatory subunit 4;26S protease regulatory subunit 4;26S protease regulatory subunit 8;26S protease regulatory subunit 10B;26S proteasome non-ATPase regulatory subunit 2;26S proteasome non-ATPase regulatory subunit 6;26S proteasome non-ATPase regulatory subunit 5;26S proteasome non-ATPase regulatory subunit 1;26S proteasome non-ATPase regulatory subunit 13
33	Prefoldin complex	Human	PFD complex	None	O15212;O60925;P61758;Q99471;Q9NQP4;Q9UHV9	10471;5201;7411;5204;5203;5202	MI:0071-molecular sieving	GO:0007010;GO:0006457;GO:0050821;GO:0030036	cytoskeleton organization;protein folding;protein stabilization;actin cytoskeleton organization	42.04;14.01;42.04.03	cytoskeleton/structural proteins;protein folding and stabilization;actin cytoskeleton	PFDN6;PFDN1;VBP1;PFDN5;PFDN4;PFDN2	None	14634002	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	HKE2 PFD6;PFD1;PFDN3;MM1 PFD5;PFD4;PFD2	Prefoldin subunit 6;Prefoldin subunit 1;Prefoldin subunit 3;Prefoldin subunit 5;Prefoldin subunit 4;Prefoldin subunit 2
36	AP1 adaptor complex	Human	None	None	O43747;O75843;P56377;P61966;Q10567;Q96PC3;Q9BXS5;Q9Y6Q5	164;8906;8905;1174;162;130340;8907;10053	MI:0018- two hybrid	GO:0006886;GO:0006605;GO:0015031;GO:0016192;GO:0006900;GO:0016050;GO:0006897;GO:0030133	intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;membrane budding;vesicle organization;endocytosis;transport vesicle	14.04;20.01.10;20.09.07;20.09.07.25;20.09.18.09.01;70.09	protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);vesicle formation;endocytosis;intracellular transport vesicles	AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1S3;AP1M1;AP1M2	None	9733768	This adaptor-related complex participates in a transport step different from that of AP-1. It may function at some trafficking step in the complex pathways between the TGN and the cell surface.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	ADTG CLAPG1;None;None;AP19 CLAPS1;ADTB1 BAM22 CLAPB2;None;CLTNM;None	AP-1 complex subunit gamma-1;AP-1 complex subunit gamma-like 2;AP-1 complex subunit sigma-2;AP-1 complex subunit sigma-1A;AP-1 complex subunit beta-1;AP-1 complex subunit sigma-3;AP-1 complex subunit mu-1;AP-1 complex subunit mu-2
41	Mi-2/NuRD-MTA3 complex	Human	None	HeLa and 293T cells	O94776;O95983;P41182;Q13547;Q9BTC8	9219;53615;604;3065;57504	MI:0019-coimmunoprecipitation;MI:0096-pull down	GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0051276;GO:0030183;GO:0005634	DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;B cell differentiation;nucleus	10.01.09.05;11.02.03.04.03;14.07.04;42.10.03;43.03.07.02.01.01;70.10	DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;B-cell;nucleus	MTA2;MBD3;BCL6;HDAC1;MTA3	None	15454082	The transcriptional repressor BCL-6 regulates B lymphocyte cell fate during the germinal center reaction by preventing terminal differentiation of B lymphocytes into plasma cells until appropriate signals are received. A cofactor, MTA3, a cell type-specific subunit of the corepressor complex Mi-2/NuRD, for BCL-6-dependent cell fate determination is reported. MTA3 is expressed in the same pattern in germinal centers as BCL-6. BCL-6 physically interacts with Mi-2/NuRD and this interaction is sensitive to BCL-6 acetylation status.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	MTA1L1 PID;None;BCL5 LAZ3 ZBTB27 ZNF51;RPD3L1;KIAA1266	Metastasis-associated protein MTA2;Methyl-CpG-binding domain protein 3;B-cell lymphoma 6 protein;Histone deacetylase 1;Metastasis-associated protein MTA3
43	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	Human	None	None	P49768;Q92542;Q96BI3;Q9NZ42	5663;23385;51107;55851	MI:0029-cosedimentation through density gradients;MI:0007-anti tag coimmunoprecipitation	GO:0016485;GO:0051090;GO:0007219;GO:0005886;GO:0005794	protein processing;regulation of sequence-specific DNA binding transcription factor activity;Notch signaling pathway;plasma membrane;Golgi apparatus	14.07.11;18.02.09;30.05.02.14;70.02;70.08	protein processing (proteolytic);regulator of transcription factor;Notch-receptor signalling pathway;eukaryotic plasma membrane / membrane attached;Golgi	PSEN1;NCSTN;APH1A;PSENEN	None	12740439	Proteolytic cleavage within the hydrophobic transmembrane domains of Notch and APP are intimately associated with a multimeric gamma-secretase complex that contains the presenilin-1 or presenilin-2 and the membrane glycoprotein nicastrin. Three variants of APH1 (APH1A short, APH1A long and APH1B) as well as two presenillin variants (PSEN1 and PSEN2) allow the formation of six different gamma-secretase complexes.	Gamma-secretase is causally implicated in Alzheimer's disease.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	AD3, PS1, PSNL1;KIAA0253;PSF;PEN2	Presenilin-1;Nicastrin;Gamma-secretase subunit APH-1A;Gamma-secretase subunit PEN-2
45	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	Human	None	None	P49768;Q92542;Q96BI3;Q9NZ42	5663;23385;51107;55851	MI:0029-cosedimentation through density gradients;MI:0007-anti tag coimmunoprecipitation	GO:0016485;GO:0051090;GO:0007219;GO:0005886;GO:0005794	protein processing;regulation of sequence-specific DNA binding transcription factor activity;Notch signaling pathway;plasma membrane;Golgi apparatus	14.07.11;18.02.09;30.05.02.14;70.02;70.08	protein processing (proteolytic);regulator of transcription factor;Notch-receptor signalling pathway;eukaryotic plasma membrane / membrane attached;Golgi	PSEN1;NCSTN;APH1A;PSENEN	None	15274632	Proteolytic cleavage within the hydrophobic transmembrane domains of Notch and APP are intimately associated with a multimeric gamma-secretase complex that contains the presenilin-1 or presenilin-2 and the membrane glycoprotein nicastrin. Three variants of APH1 (APH1A short, APH1A long and APH1B) as well as two presenillin variants (PSEN1 and PSEN2) allow the formation of six different gamma-secretase complexes.	Gamma-secretase is causally implicated in Alzheimer's disease.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	AD3, PS1, PSNL1;KIAA0253;PSF;PEN2	Presenilin-1;Nicastrin;Gamma-secretase subunit APH-1A;Gamma-secretase subunit PEN-2
49	DNMT3B complex	Human	None	None	O60264;O95239;O95347;Q13547;Q96ST3;Q9NTJ3;Q9UBC3	8467;24137;10592;3065;25942;10051;1789	MI:0019- coimmunoprecipitation	GO:0006306;GO:0006265;GO:0000279;GO:0007067;GO:0007059;GO:0051276;GO:0005694	DNA methylation;DNA topological change;M phase;mitotic nuclear division;chromosome segregation;chromosome organization;chromosome	10.01.09.01;10.01.09.05;10.03.01.01.11;10.03.04.05;42.10.03;70.10.03	DNA methylation;DNA conformation modification (e.g. chromatin);M phase;chromosome segregation/division;organization of chromosome structure;chromosome	SMARCA5;KIF4A;SMC2;HDAC1;SIN3A;SMC4;DNMT3B	None	15148359	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	SNF2H, WCRF135;KIF4;CAPE SMC2L1;RPD3L1;None;CAPC SMC4L1;None	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Chromosome-associated kinesin KIF4A ;Structural maintenance of chromosomes protein 2;Histone deacetylase 1;Paired amphipathic helix protein Sin3a;Structural maintenance of chromosomes protein 4;DNA
50	RAB5-RABAPTIN5\u2013RABEX5 complex	Human	RAB5A-RABEP1\u2013RABGEF complex	HeLa cells	P20339;Q15276;Q9UJ41	5868;9135;27342	MI:0019-coimmunoprecipitation;MI:0018-two hybrid	GO:0006897	endocytosis	20.09.18.09.01	endocytosis	RAB5A;RABEP1;RABGEF1	None	9323142	The Rab5-binding protein, Rabex-5 forms a tight physical complex with Rabaptin-5, and this complex is essential for endocytic membrane fusion. Both Rabaptin-5 and Rabex-5 are recruited by immobilized Rab5.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	RAB5;RABAPTIN-5, RAB5EP, RABPT5, RABPT5A;RABEX5	Ras-related protein Rab-5A;Rab GTPase-binding effector protein 1;Rab5 GDP/GTP exchange factor
54	SIN3 complex	Human	Histone deacetylase complex	HeLa nuclear extract	O00422;O75446;Q09028;Q13547;Q16576;Q92769;Q96ST3	10284;8819;5928;3065;5931;3066;25942	MI:0004-affinity chromatography technologies;MI:0019-coimmunoprecipitation;MI:0096-pull down	GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0051276;GO:0005634	DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;nucleus	10.01.09.05;11.02.03.04.03;14.07.04;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;nucleus	SAP18;SAP30;RBBP4;HDAC1;RBBP7;HDAC2;SIN3A	None	9150135	An important event in gene expression is the covalent modification of histone proteins. Histone deacetylases and SAP18 are components of a human Sin3 complex. SAP18 exists in the same complex with mSin3 and HDAC1, and SAP18 enhances mSin3-HDAC1-mediated transcriptional repression.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;RBAP48;RPD3L1;RBAP46;None;None	Histone deacetylase complex subunit SAP18;Histone deacetylase complex subunit SAP30;Histone-binding protein RBBP4;Histone deacetylase 1;Histone-binding protein RBBP7;Histone deacetylase 2;Paired amphipathic helix protein Sin3a
55	HDAC4-ERK1 complex	Human	None	None	P27361;P56524	5595;9759	MI:0007- anti tag coimmunoprecipitation	GO:0006265;GO:2001141;GO:0006355;GO:0000165;GO:0051276;GO:0005634	DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;MAPK cascade;chromosome organization;nucleus	10.01.09.05;11.02.03.04;30.01.05.01.03;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcriptional control;MAPKKK cascade;organization of chromosome structure;nucleus	MAPK3;HDAC4	None	11114188	ERK1 activity links the Ras-MAPK signal transduction pathway to a mechanism for chromatin remodeling (i.e., histone deacetylation).	None	Homo sapiens (Human);Homo sapiens (Human)	ERK1, PRKM3;KIAA0288	Mitogen-activated protein kinase 3;Histone deacetylase 4
57	HDAC4-ERK2 complex	Human	None	None	P28482;P56524	5594;9759	MI:0007- anti tag coimmunoprecipitation	GO:0006265;GO:2001141;GO:0006355;GO:0000165;GO:0051276;GO:0005634	DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;MAPK cascade;chromosome organization;nucleus	10.01.09.05;11.02.03.04;30.01.05.01.03;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcriptional control;MAPKKK cascade;organization of chromosome structure;nucleus	MAPK1;HDAC4	None	11114188	None	None	Homo sapiens (Human);Homo sapiens (Human)	ERK2, PRKM1, PRKM2;KIAA0288	Mitogen-activated protein kinase 1;Histone deacetylase 4
